Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0291376719735389,-0.00232841132499396,-0.0260909942531327,0,0,0,1.70448509015393,0.000990902418013622,-4.41076173735161E-08,4.44507951399018E-10,0.00213234338098191,3.50429747363444E-06,0.00150337021292883,0,0,0,0,0,0,package://v1120114/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/base_link.STL,,b_Waist_YAS-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link3,0.00106898627925063,-6.13352575565967E-07,0.109277892349844,0,0,0,1.02787228097608,0.00256857014602343,-3.37682122362648E-08,2.20061121136571E-06,0.00105757702703917,-3.24676155208834E-10,0.00245909018529,0,0,0,0,0,0,package://v1120114/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link3.STL,,2_Computer_Trunk_YAS-1,座標系統3,Axis_joint3,joint3,continuous,0.02475,0.026,0.0315,0,0,-1.5708,base_link,0,-1,0,,,,,,,,,,,,
link2,-0.0116602183846459,0.000361279735885737,0.0166253001732367,0,0,0,0.0523123931279547,8.53895873186143E-06,-1.99833625344026E-08,1.81459483650498E-08,1.21489113617251E-05,-2.11768165409156E-17,1.50041243795591E-05,0,0,0,0,0,0,package://v1120114/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link2.STL,,1_Head-1,座標系統2,Axis_joint2,joint2,continuous,0.0345,0,0.1995,0,0,0,link3,0,0,1,,,,,,,,,,,,
link1,-0.00169500535411865,-0.0200192249368634,-2.35547692462035E-13,0,0,0,0.0158060600482859,1.49380872581015E-05,-3.18300006842022E-07,5.33619491943895E-14,1.49156221752885E-05,2.70520019157455E-17,1.82963832607674E-06,0,0,0,0,0,0,package://v1120114/meshes/link1.STL,0,0.235294117647059,0.352941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link1.STL,,1_realsense_camera_carrier-1,座標系統1,Axis_joint1,joint1,continuous,0,0,0.01925,-1.5708,0,0,link2,0,0,1,,,,,,,,,,,,
link11,-0.000301742188351311,5.89278625895417E-12,0.0264624259819208,0,0,0,0.0712150035674857,1.55662024225693E-05,-2.11558691998734E-17,1.99833625344026E-08,1.63739672615053E-05,-1.66982230363125E-14,1.17915618373004E-05,0,0,0,0,0,0,package://v1120114/meshes/link11.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link11.STL,,11_Arm_YAS-1,座標系統11,Axis_joint11,joint11,continuous,-0.005,-0.168,0.129,-1.5708,0,3.1416,link3,0,0,1,,,,,,,,,,,,
link12,-0.0806893215186349,0.000215232679511151,4.77920134023258E-12,0,0,0,0.0878091914998004,1.11537385316148E-05,1.99833625344143E-08,1.66983819679157E-14,3.4579475534257E-05,2.11771711192231E-17,3.92290812378862E-05,0,0,0,0,0,0,package://v1120114/meshes/link12.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link12.STL,,12_Arm_YAS-1,座標系統12,Axis_joint12,joint12,continuous,0,0,0.04715,1.5708,0,-1.5708,link11,0,0,1,,,,,,,,,,,,
link13,0.105814490495438,0.000533646751033057,-0.000370471378388859,0,0,0,0.140001131112476,3.35192747605671E-05,1.98392206984745E-08,-4.6218474253649E-07,6.6362033771056E-05,-7.15138706926308E-11,8.33848100523664E-05,0,0,0,0,0,0,package://v1120114/meshes/link13.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link13.STL,,13_Arm_YAS-1,座標系統13,Axis_joint13,joint13,continuous,-0.12015,0,0,1.5708,0,3.1416,link12,0,0,1,,,,,,,,,,,,
link21,-0.000301742188351276,5.89289728125664E-12,0.0264624259819208,0,0,0,0.0712150035674857,1.55662024225693E-05,-2.11912075755592E-17,1.99833625343981E-08,1.63739672615053E-05,-1.66982253386046E-14,1.17915618373004E-05,0,0,0,0,0,0,package://v1120114/meshes/link21.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link21.STL,,21_Arm_YAS-1,座標系統21,Axis_joint21,joint21,continuous,-0.005,0.168,0.129,1.5708,0,3.1416,link3,0,0,1,,,,,,,,,,,,
link22,-0.0806893215186348,-0.00021523267951129,-4.77937134313322E-12,0,0,0,0.0878091914998004,1.11537385316148E-05,-1.99833625344029E-08,-1.66980541492834E-14,3.4579475534257E-05,2.11774003142362E-17,3.92290812378862E-05,0,0,0,0,0,0,package://v1120114/meshes/link22.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link22.STL,,22_Arm_YAS-1,座標系統22,Axis_joint22,joint22,continuous,0,0,0.04715,-1.5708,0,1.5708,link21,0,0,1,,,,,,,,,,,,
link23,0.105814490495438,0.000803636106430475,-0.000370471384384036,0,0,0,0.140001131112476,3.35192747605671E-05,-2.01275043694385E-08,-4.62184709139895E-07,6.63620337710558E-05,-7.15138707663582E-11,8.3384810052366E-05,0,0,0,0,0,0,package://v1120114/meshes/link23.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link23.STL,,23_Arm_YAS-1,座標系統23,Axis_joint23,joint23,continuous,-0.12015,0,0,-1.5708,0,-3.1416,link22,0,0,1,,,,,,,,,,,,
